	RowNumber	StudentId	Rating	Geography	Gender	Age	Discussion	CurrentValue	AnnouncementsView	HasOtherActiveCourse	IsActiveMember	EstimatedValue	Target	Predictions - Succeed or Not	Predictions - Probability to Succeed education	Predictions - Succeed or Fail Desc
99	100	15633095	413	France	Male	34	9	0.0	2	0	0	6534.18	0	0	0.11031477	Fail
100	101	15808618	665	France	Female	40	6	0.0	1	1	1	161848.03	0	0	0.20498209	Fail
101	102	15743228	623	France	Female	44	6	0.0	2	0	0	167162.43	0	0	0.19311962	Fail
102	103	15580182	738	France	Male	31	9	82674.15	1	1	0	41970.72	0	0	0.07898097	Fail
103	104	15776641	528	Spain	Male	36	7	0.0	2	1	0	60536.56	0	0	0.049984284	Fail
104	105	15804955	670	Spain	Female	65	1	0.0	1	1	1	177655.68	1	0	0.2404559	Fail
105	106	15613890	622	Spain	Female	46	4	107073.27	2	1	1	30984.59	1	0	0.19930102	Fail
106	107	15599231	582	Germany	Male	32	1	88938.62	1	1	1	10054.53	0	0	0.07919518	Fail
107	108	15812914	785	Germany	Female	36	2	99806.85	1	0	1	36976.52	0	0	0.28621095	Fail
108	109	15602348	605	Spain	Male	33	5	150092.8	1	0	0	71862.79	0	0	0.12642004	Fail
109	110	15744725	479	Germany	Male	35	9	92833.89	1	1	0	99449.86	1	0	0.28850174	Fail
110	111	15803562	685	Germany	Male	30	3	90536.81	1	0	1	63082.88	0	0	0.095285766	Fail
111	112	15665826	538	Germany	Male	39	7	108055.1	2	1	0	27231.26	0	0	0.20519486	Fail
112	113	15715987	562	France	Male	42	2	100238.35	1	0	0	86797.41	0	0	0.30597714	Fail
113	114	15591136	675	Spain	Male	36	9	106190.55	1	0	1	22994.32	0	0	0.062248383	Fail
114	115	15609654	721	Germany	Male	28	9	154475.54	2	0	1	101300.94	1	0	0.030941669	Fail
115	116	15675558	628	Germany	Female	30	9	132351.29	2	1	1	74169.13	0	0	0.062740825	Fail
116	117	15705548	668	Germany	Female	37	6	167864.4	1	1	0	115638.29	0	0	0.3436621	Fail
117	118	15698064	506	France	Female	41	1	0.0	2	1	0	31766.3	0	0	0.14573644	Fail
118	119	15661706	524	Germany	Female	31	8	107818.63	1	1	0	199725.39	1	0	0.33243525	Fail
119	120	15600817	699	Germany	Male	34	4	185173.81	2	1	0	120834.48	0	0	0.04414545	Fail
120	121	15682508	828	France	Male	34	8	129433.34	2	0	0	38131.77	0	0	0.047118608	Fail
121	122	15580239	674	Spain	Male	39	6	120193.42	1	0	0	100130.95	0	0	0.18467803	Fail
122	123	15690709	656	France	Female	39	6	0.0	2	1	0	141069.88	0	0	0.1113829	Fail
123	124	15760121	684	Germany	Female	48	10	126384.42	1	1	1	198129.36	0	1	0.57468957	Succeed
124	125	15779695	625	France	Female	28	3	0.0	1	0	0	183646.41	0	0	0.2137421	Fail
125	126	15627396	432	France	Male	42	9	152603.45	1	1	0	110265.24	1	0	0.30721703	Fail
126	127	15671173	549	France	Female	52	1	0.0	1	0	1	8636.05	1	1	0.544929	Succeed
127	128	15782724	625	Germany	Male	56	0	148507.24	1	1	0	46824.08	1	1	0.82294035	Succeed
128	129	15575528	828	France	Female	41	7	0.0	2	1	0	171378.77	0	0	0.12687735	Fail
129	130	15591643	770	France	Male	24	9	101827.07	1	1	0	167256.35	0	0	0.08943576	Fail
130	131	15740440	758	France	Female	34	3	0.0	2	1	1	124226.16	0	0	0.024245074	Fail
131	132	15718405	795	Germany	Female	33	9	130862.43	1	1	1	114935.21	0	0	0.22214402	Fail
132	133	15677907	687	France	Male	38	9	122570.87	1	1	1	35608.88	0	0	0.082515016	Fail
133	134	15642040	686	France	Male	25	1	0.0	2	0	1	16459.37	0	0	0.01496117	Fail
134	135	15712579	789	Germany	Male	39	7	124828.46	2	1	1	124411.08	0	0	0.08016941	Fail
135	136	15584554	589	Germany	Female	50	5	144895.05	2	1	1	34941.23	0	0	0.37696338	Fail
136	137	15802417	461	Germany	Female	34	5	63663.93	1	0	1	167784.28	0	0	0.10469759	Fail
137	138	15610192	637	France	Male	40	2	133463.1	1	0	1	93165.34	0	0	0.11341899	Fail
138	139	15594444	584	Spain	Female	48	2	213146.2	1	1	0	75161.25	1	1	0.8360382	Succeed
139	140	15640941	579	Spain	Female	35	1	129490.36	2	0	1	8590.83	1	0	0.06306187	Fail
140	141	15698968	756	Germany	Male	44	10	137452.09	1	1	0	189543.9	0	1	0.62590164	Succeed
141	142	15724980	663	France	Male	34	7	0.0	2	1	1	180427.24	0	0	0.017210536	Fail
142	143	15628181	682	France	Female	43	5	125851.93	1	1	1	193318.33	0	0	0.22514816	Fail
143	144	15713519	793	Spain	Male	52	2	0.0	1	1	0	159123.82	1	1	0.73278785	Succeed
144	145	15612386	691	France	Female	31	5	40915.55	1	1	0	126213.84	1	0	0.2366329	Fail
145	146	15800739	485	Spain	Female	21	5	113157.22	1	1	1	54141.5	0	0	0.088783	Fail
146	147	15705743	635	Spain	Female	29	8	138296.94	2	1	0	141075.51	0	0	0.09653667	Fail
147	148	15754141	650	France	Male	37	5	106967.18	1	0	0	24495.03	0	0	0.14526127	Fail
148	149	15703300	735	France	Male	44	9	120681.63	1	1	0	74836.34	0	0	0.34858906	Fail
149	150	15794449	416	France	Male	32	0	0.0	2	0	1	878.87	0	0	0.027796859	Fail
150	151	15650273	754	Spain	Female	32	7	0.0	2	1	0	89520.75	0	0	0.06240637	Fail
151	152	15759654	535	France	Female	48	9	0.0	1	1	0	149892.79	1	1	0.7209247	Succeed
152	153	15811625	716	Spain	Male	42	8	0.0	2	1	0	180800.42	0	0	0.107530564	Fail
153	154	15689080	539	France	Male	37	2	127609.59	1	1	0	98646.22	0	0	0.16135208	Fail
154	155	15709404	614	France	Female	43	6	0.0	2	1	1	109041.53	0	0	0.094401605	Fail
155	156	15679181	706	Spain	Male	57	7	0.0	1	1	0	17941.16	1	1	0.65956223	Succeed
156	157	15655043	758	France	Female	33	7	0.0	2	0	0	82996.47	0	0	0.046067975	Fail
157	158	15623631	586	Spain	Female	28	2	0.0	2	1	1	92067.35	0	0	0.028112981	Fail
158	159	15590011	646	France	Female	73	6	97259.25	1	0	1	104719.66	0	0	0.045527	Fail
159	160	15804053	631	Germany	Female	33	4	123246.7	1	0	0	112687.57	0	0	0.33892572	Fail
160	161	15692168	717	Spain	Female	22	6	101060.25	1	0	1	84699.56	0	0	0.06598652	Fail
161	162	15641158	684	France	Male	30	2	0.0	2	1	0	83473.82	0	0	0.028111622	Fail
162	163	15630946	800	France	Female	49	7	108007.36	1	0	0	47125.11	0	1	0.59995645	Succeed
163	164	15680808	721	Spain	Female	36	2	0.0	2	1	1	106977.8	0	0	0.043947022	Fail
164	165	15658965	683	Spain	Male	29	0	133702.89	1	1	0	55582.54	1	0	0.15870902	Fail
165	166	15585424	660	Germany	Male	31	9	125189.75	2	1	1	139874.43	0	0	0.04502121	Fail
166	167	15724659	704	Germany	Female	24	7	113034.22	1	1	0	162503.48	1	0	0.33213842	Fail
167	168	15588573	615	Spain	Female	41	9	109013.23	1	1	0	196499.96	0	0	0.33758053	Fail
168	169	15574728	667	Spain	Female	39	2	0.0	2	1	0	40721.24	1	0	0.1080875	Fail
169	170	15611361	682	Germany	Male	24	9	57929.81	2	0	0	53134.3	0	0	0.034152158	Fail
170	171	15587598	484	France	Female	29	4	130114.39	1	1	0	164017.89	0	0	0.16751875	Fail
171	172	15613208	628	Germany	Male	27	5	95826.49	2	1	0	155996.96	0	0	0.05790866	Fail
172	173	15651058	480	Germany	Male	44	10	129608.57	1	1	0	5472.7	1	1	0.6924058	Succeed
173	174	15586346	578	France	Male	30	4	169462.09	1	1	0	112187.11	0	0	0.13736792	Fail
174	175	15625560	512	France	Male	40	5	0.0	2	1	1	146457.83	0	0	0.034990016	Fail
175	176	15755245	484	Spain	Female	35	7	133868.21	1	1	1	27286.1	0	0	0.099060304	Fail
176	177	15645284	510	France	Female	30	0	0.0	2	1	1	130553.47	0	0	0.029743796	Fail
177	178	15790391	606	Germany	Male	36	5	190479.48	2	0	0	179351.89	0	0	0.07286299	Fail
178	179	15762651	597	Spain	Female	40	8	101993.12	1	0	1	94774.12	0	0	0.10069017	Fail
179	180	15625462	754	Germany	Female	55	3	161608.81	1	1	0	8080.85	1	1	0.82154495	Succeed
180	181	15716370	850	Spain	Female	45	2	122311.21	1	1	1	19482.5	0	0	0.20816787	Fail
181	182	15789705	510	France	Male	65	2	0.0	2	1	1	48071.61	0	0	0.036844965	Fail
182	183	15621111	778	Germany	Female	45	1	162150.42	2	1	0	174531.27	0	0	0.37575585	Fail
183	184	15810881	636	France	Male	42	2	0.0	2	1	1	55470.78	0	0	0.05396375	Fail
184	185	15719413	804	France	Female	50	4	0.0	1	1	1	8546.87	1	0	0.49745348	Fail
185	186	15654542	514	France	Male	32	8	0.0	2	1	0	95857.18	0	0	0.029435927	Fail
186	187	15772013	730	France	Female	39	1	99010.67	1	1	0	194945.8	0	0	0.29074895	Fail
187	188	15708746	525	Spain	Female	37	0	0.0	1	0	1	131521.72	0	0	0.17452846	Fail
188	189	15726712	616	Spain	Male	30	5	0.0	2	0	1	196108.51	0	0	0.01670284	Fail
189	190	15587457	687	Germany	Female	34	7	111388.18	2	1	0	148564.76	0	0	0.13913324	Fail
190	191	15726967	715	France	Female	41	8	56214.85	2	0	0	92982.61	1	0	0.1823197	Fail
191	192	15771122	512	France	Female	36	3	84327.77	2	1	0	17675.36	0	0	0.101320714	Fail
192	193	15756886	479	France	Male	40	1	0.0	2	0	0	114996.43	0	0	0.075848505	Fail
193	194	15702777	601	France	Male	32	8	93012.89	1	1	0	86957.42	0	0	0.07146617	Fail
194	195	15679236	580	Spain	Male	29	9	61710.44	2	1	0	128077.8	0	0	0.063835464	Fail
195	196	15594851	807	France	Male	35	3	174790.15	1	1	1	600.36	0	0	0.076326564	Fail
196	197	15635941	616	Spain	Female	32	6	0.0	2	1	1	43001.46	0	0	0.033364847	Fail
197	198	15777928	721	Germany	Male	37	3	107720.64	1	1	1	158591.12	0	0	0.20292132	Fail
198	199	15656212	501	France	Male	57	10	0.0	2	1	1	47847.19	0	0	0.08477337	Fail
199	200	15811163	521	France	Male	35	6	96423.84	1	1	0	10488.44	0	0	0.12941116	Fail
200	201	15604518	850	Spain	Male	30	2	141040.01	1	1	1	5978.2	0	0	0.049662508	Fail
201	202	15622947	759	France	Male	42	4	105420.18	1	0	1	121409.06	0	0	0.15532993	Fail
202	203	15601010	516	Spain	Male	50	5	0.0	1	0	1	146145.93	1	0	0.43193483	Fail
203	204	15727904	711	France	Female	38	2	129022.06	2	1	1	14374.86	1	0	0.08452492	Fail
204	205	15627837	512	Spain	Male	33	3	176666.62	1	1	0	94670.77	0	0	0.18357718	Fail
205	206	15773075	550	France	Male	37	3	0.0	1	1	1	179670.31	0	0	0.14196163	Fail
206	207	15755298	608	Spain	Female	41	3	89763.84	1	0	0	199304.74	1	0	0.39376643	Fail
207	208	15679567	618	France	Male	34	5	134954.53	1	1	1	151954.39	0	0	0.05432604	Fail
208	209	15684217	643	France	Male	45	5	0.0	1	1	0	142513.5	1	0	0.49619153	Fail
209	210	15612123	671	France	Male	45	2	106376.85	1	0	1	158264.62	0	0	0.237529	Fail
210	211	15752083	689	Germany	Male	33	2	161814.64	2	1	0	169381.9	0	0	0.060294107	Fail
211	212	15624628	603	France	Male	31	8	0.0	2	1	1	169915.02	0	0	0.016708627	Fail
212	213	15573188	620	France	Female	41	9	0.0	2	0	0	88852.47	0	0	0.13748363	Fail
213	214	15594953	676	France	Female	34	1	63095.01	1	1	1	40645.81	0	0	0.0829737	Fail
214	215	15785578	572	Germany	Male	26	4	118287.01	2	0	0	60427.3	0	0	0.09292852	Fail
215	216	15723524	668	Germany	Male	47	7	106854.21	1	0	1	157959.02	1	0	0.49774286	Fail
216	217	15680956	695	France	Male	46	7	49512.55	1	1	0	133007.34	0	0	0.47475836	Fail
217	218	15786344	730	Spain	Female	33	9	0.0	2	0	0	176576.62	0	0	0.06953926	Fail
218	219	15659402	807	France	Male	43	1	105799.32	2	1	0	34888.04	1	0	0.13349189	Fail
219	220	15774890	592	France	Male	54	8	0.0	1	1	1	28737.71	1	0	0.37809768	Fail
220	221	15725347	726	France	Female	31	9	114722.05	2	1	1	98178.57	0	0	0.032958157	Fail
221	222	15787191	514	Spain	Male	30	7	0.0	1	0	1	125010.24	0	0	0.06311486	Fail
222	223	15727865	567	France	Male	42	2	0.0	2	1	1	167984.61	0	0	0.05811271	Fail
223	224	15733283	850	France	Male	33	10	0.0	1	1	0	4861.72	1	0	0.15494713	Fail
224	225	15568784	671	Germany	Male	45	6	99564.22	1	1	1	108872.45	1	0	0.42927697	Fail
225	226	15699065	670	France	Male	37	4	170557.91	2	1	0	198252.88	0	0	0.083529994	Fail
226	227	15774429	694	France	Female	30	9	0.0	2	1	1	26960.31	0	0	0.026231624	Fail
227	228	15676931	547	Germany	Female	39	6	74596.15	3	1	1	85746.52	1	1	0.7216819	Succeed
228	229	15637789	751	Germany	Male	50	2	96888.39	1	1	0	77206.25	1	1	0.73884267	Succeed
229	230	15605497	594	Germany	Female	29	3	130830.22	1	1	0	61048.53	0	0	0.3368006	Fail
230	231	15808509	673	France	Male	72	1	0.0	2	0	1	111981.19	0	0	0.0119259	Fail
231	232	15627036	610	France	Male	40	0	0.0	2	1	0	62232.6	0	0	0.071527176	Fail
232	233	15787210	512	France	Female	37	1	0.0	2	0	1	156105.03	0	0	0.051173773	Fail
233	234	15723922	767	Germany	Male	20	3	119714.25	2	0	1	150135.38	0	0	0.050838254	Fail
234	235	15704805	585	France	Female	67	5	113978.97	2	0	1	93146.11	0	0	0.08530341	Fail
235	236	15772932	763	Germany	Male	42	6	100160.75	1	1	0	33462.94	1	1	0.6250282	Succeed
236	237	15711576	712	France	Female	29	2	0.0	1	1	1	144375.0	0	0	0.101296924	Fail
237	238	15764902	539	Germany	Female	43	3	116220.5	3	1	0	55803.96	1	1	0.9489091	Succeed
238	239	15794092	668	France	Female	46	2	0.0	3	1	0	89048.46	1	1	0.8858374	Succeed
239	240	15795185	703	France	Male	28	2	81173.83	2	0	1	162812.16	0	0	0.019918822	Fail
240	241	15812045	662	Spain	Male	38	4	0.0	2	1	0	136259.65	0	0	0.055114113	Fail
241	242	15651037	725	Germany	Female	39	5	116803.8	1	1	0	124052.97	0	1	0.506835	Succeed
242	243	15813880	703	France	Male	37	8	105961.68	2	0	1	74158.8	0	0	0.0315785	Fail
243	244	15596211	659	Germany	Male	67	6	117411.6	1	1	1	45071.09	1	0	0.30785877	Fail
244	245	15576305	523	Spain	Male	34	7	0.0	2	1	0	62030.06	0	0	0.04007878	Fail
245	246	15797255	635	France	Female	40	10	123497.58	1	1	0	131953.23	1	0	0.29350206	Fail
246	247	15685536	772	Germany	Male	26	7	152400.51	2	1	0	79414.0	0	0	0.053620763	Fail
247	248	15599828	545	France	Female	26	1	0.0	2	1	1	199638.56	0	0	0.023137175	Fail
248	249	15657602	634	Germany	Male	24	8	103097.85	1	1	1	157577.29	0	0	0.11093305	Fail
249	250	15772459	739	Germany	Male	54	8	126418.14	1	1	0	134420.75	1	1	0.8234711	Succeed
250	251	15628148	771	Germany	Female	36	5	77846.9	1	0	0	99805.99	0	0	0.2875163	Fail
251	252	15753790	587	Spain	Female	34	1	0.0	2	1	1	97932.68	0	0	0.025017185	Fail
252	253	15793762	681	France	Female	79	0	0.0	2	0	1	170968.99	0	0	0.024008023	Fail
253	254	15694753	544	Germany	Male	37	2	79731.91	1	1	1	57558.95	0	0	0.14698546	Fail
254	255	15665870	696	Spain	Male	28	8	0.0	1	0	0	176713.47	0	0	0.16334604	Fail
255	256	15765333	766	Spain	Male	41	0	0.0	2	0	1	34283.23	0	0	0.072833315	Fail
256	257	15636720	727	France	Male	34	10	0.0	2	1	1	198637.34	0	0	0.015293149	Fail
257	258	15593015	671	Germany	Female	34	6	37266.67	2	0	0	156917.12	0	0	0.044277295	Fail
258	259	15750839	693	France	Female	30	6	127992.25	1	1	1	50457.2	0	0	0.07403895	Fail
259	260	15607214	850	Germany	Male	38	3	54901.01	1	1	1	140075.55	0	0	0.099176906	Fail
260	261	15713889	732	Germany	Male	42	9	108748.08	2	1	1	65323.11	0	0	0.1767624	Fail
261	262	15673517	726	Spain	Female	48	6	99906.19	1	1	0	64323.24	0	1	0.5657812	Succeed
262	263	15686812	557	France	Female	32	6	184686.41	2	1	0	14956.44	0	0	0.099577434	Fail
263	264	15673729	682	France	Female	26	0	110654.02	1	0	1	111879.21	0	0	0.07974932	Fail
264	265	15700732	738	Spain	Male	31	9	79019.8	1	1	1	18606.23	0	0	0.040866625	Fail
265	266	15813199	531	Spain	Female	36	9	99240.51	1	1	0	123137.01	0	0	0.17087497	Fail
266	267	15653893	498	France	Male	34	2	0.0	2	1	1	148528.24	0	0	0.015679723	Fail
267	268	15777112	651	France	Male	36	7	0.0	2	1	0	13898.31	0	0	0.049934484	Fail
268	269	15717434	549	Spain	Female	39	7	0.0	1	0	0	81259.25	1	0	0.32127288	Fail
269	270	15799253	791	Germany	Female	35	7	52436.2	1	1	0	161051.75	0	0	0.23972988	Fail
270	271	15787107	650	Spain	Male	41	9	0.0	2	0	1	191599.67	0	0	0.04216401	Fail
271	272	15619991	733	Germany	Male	34	3	100337.96	3	1	0	48559.19	1	1	0.74042636	Succeed
272	273	15796541	811	Germany	Female	34	1	149297.19	2	1	1	186339.74	0	0	0.07434074	Fail
273	274	15725202	707	France	Male	30	8	0.0	2	1	0	33159.37	0	0	0.02692945	Fail
274	275	15800152	712	Germany	Male	28	4	145605.44	1	0	1	93883.53	0	0	0.104320414	Fail
275	276	15758721	706	Spain	Female	37	7	0.0	2	1	1	110899.3	0	0	0.03567008	Fail
